soc,ocv_V,source,model,export_method
0.37,3.644899269918629,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.375,3.6486724042409158,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.38,3.6523934678934156,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.385,3.656074880144919,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.39,3.659728972555195,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.395,3.663367868547739,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.4,3.6670033852799646,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.405,3.67064695055076,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.41000000000000003,3.6743095279422233,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.41500000000000004,3.6780015441392484,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.42,3.6817328133372187,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.425,3.6855124547928853,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.43,3.689348800876846,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.435,3.69324929443748,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.44,3.697220375873002,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.445,3.7012673620037377,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.45,3.7053943205890896,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.455,3.7096039460592425,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.46,3.7138974436102523,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.465,3.7182744300902493,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.47000000000000003,3.7227328609099857,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.47500000000000003,3.7272689923667617,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.48,3.7318773881278187,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.485,3.736550977086982,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.49,3.741281167387598,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.495,3.7460580182102614,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.5,3.750870467195166,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.505,3.7557066074527445,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.51,3.760554004436905,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.515,3.765400039950211,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.52,3.7702322686137775,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.525,3.7750387715450144,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.53,3.7798084928665165,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.535,3.7845315469643137,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.54,3.7891994879029767,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.545,3.793805536745152,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.55,3.7983447673027566,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.555,3.8028142556486895,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.56,3.807213203161696,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.5650000000000001,3.811543046637704,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.5700000000000001,3.8158075717837243,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.5750000000000001,3.82001304787914,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.58,3.824168401037459,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.585,3.8282854404668814,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.59,3.832379144947851,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.595,3.836468003091441,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.6,3.840574377437165,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.605,3.8447248248273267,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.61,3.8489502496513555,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.615,3.853285691406268,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.62,3.857769461392071,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.625,3.8624412715296743,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.63,3.867338996880718,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.635,3.8724938703123892,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.64,3.8779243180536564,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.645,3.8836293358073277,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.65,3.889583116429653,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.655,3.8957331466666076,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.66,3.9020036299376533,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.665,3.9083045855739735,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.67,3.9145447874386137,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.675,3.9206450013916188,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.68,3.926547841838052,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.685,3.9322220856717363,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.6900000000000001,3.9376614809063435,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.6950000000000001,3.942879750070955,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.7000000000000001,3.9479040205498297,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.705,3.9527685047737062,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.71,3.957509454608882,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.715,3.9621616883099353,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.72,3.9667565337067465,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.725,3.9713208411471292,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.73,3.9758767029999076,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.735,3.980441581619284,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.74,3.985028633798333,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.745,3.9896470968132056,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.75,3.994302659278221,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.755,3.9989977794576275,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.76,4.0037319384062995,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.765,4.008501829817243,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.77,4.013301496438192,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.775,4.018122427038376,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.78,4.022953629895314,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.785,4.027781699680979,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
